Uranus           Neptune
Opposition  B       n    s.d.    Opposition   B       n    s.d
1950.0      6.080   0    -1.     1950.3       8.258   16   0.010
1951.0      6.090   0    -1.     1951.3       8.255   20   0.010
1952.0      6.108   0    -1.     1952.3       8.252   20   0.011
1953.0      6.092   50   0.003   1953.3       8.253   18   0.008
1954.0      6.100   64   0.004   1954.3       8.250   60   0.005
1955.0      6.110   60   0.007   1955.3       8.246   30   0.003
1956.1      6.105   64   0.007   1956.3       8.243   48   0.005
1957.1      6.105   35   0.003   1957.3       8.242   19   0.002
1958.1      6.111   59   0.005   1958.3       8.233   46   0.005 
1959.1      6.112   45   0.005   1959.3       8.232   27   0.005
1960.1      6.118   25   0.003   1960.3       8.236   29   0.007
1961.1      6.115   26   0.003   1961.3       8.232   17   0.003
1962.1      6.115   34   0.003   1962.3       8.226   21   0.003
1963.2      6.122   21   0.003   1963.3       8.241   5    0.004
1964.2      6.129   29   0.004   1964.3       8.241   22   0.003
1965.2      6.133   21   0.002   1965.3       8.241   21   0.002
1966.2      6.132   21   0.002   1966.4       8.240   11   0.001
