Uranus     Neptune
Year     B      s.d.   V      s.d.   n   Year     B      s.d.   V      s.d.   n
1954.2   6.112  0.010  5.556  0.007  7   1954.4   8.265  0.011  7.840  0.016  6
1955.2   6.099  0.019  5.561  0.014  18  1955.4   8.263  0.011  7.847  0.016  6
1956.2   6.102  0.013  5.567  0.016  17  1956.2   8.242  0.012  7.829  0.015  14
1957.3   6.110  0.009  5.583  0.009  17  1957.3   8.241  0.026  7.817  0.009  12
1959.1   6.112  0.011  5.575  0.010  19  1959.1   8.239  0.015  7.807  0.009  14
1960.2   6.117  0.008  5.584  0.011  29  1960.2   8.237  0.017  7.795  0.010  20
1961.2   6.111  0.014  5.583  0.013  15  1961.2   8.243  0.018  7.809  0.012  11
1962.2   6.123  0.013  5.595  0.008  15  1962.4   8.222  0.013  7.791  0.009  8
1964.3   6.130  0.008  5.609  0.002  2   1964.4   8.232  0.015  7.801  0.012  7
1965.2   6.132  0.004  5.616  0.005  8   1965.4   8.239  0.012  7.808  0.013  13
1966.2   6.128  0.006  5.620  0.005  13  1966.2   8.242  0.006  7.814  0.009  6

1973.5   6.101  0.006  5.588  0.001  2   1973.4   8.211  0.022  7.803  0.010  3
1975.3   6.088  0.011  5.556  0.000  2   1975.3   8.198  0.011  7.793  0.005  2
Combined        0.008         0.011  4                   0.018         0.011  5            
